8
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
25.165824,98304
8.388608,32768
0.008192,128
0.032768,512
33.554432,131072
33.554432,32768
411.762688,1608448
