Layer #,Time
0,2.21432
1,2.1481
2,0.0421472
3,0.044441
4,4.27736
5,4.24525
6,2.1695
7,2.1481
8,0.0421472
9,0.044441
10,4.27736
11,4.24525
12,2.1695
13,2.1481
14,0.0421472
15,0.044441
16,4.27736
17,4.24525
18,2.1695
19,2.1481
20,0.0421472
21,0.044441
22,4.27736
23,4.24525
24,2.1695
25,2.1481
26,0.0421472
27,0.044441
28,4.27736
29,4.24525
30,2.1695
31,2.1481
32,0.0421472
33,0.044441
34,4.27736
35,4.24525
36,2.1695
37,2.1481
38,0.0421472
39,0.044441
40,4.27736
41,4.24525
42,2.1695
43,2.1481
44,0.0421472
45,0.044441
46,4.27736
47,4.24525
48,2.1695
49,2.1481
50,0.0421472
51,0.044441
52,4.27736
53,4.24525
54,2.1695
55,2.1481
56,0.0421472
57,0.044441
58,4.27736
59,4.24525
60,2.1695
61,2.1481
62,0.0421472
63,0.044441
64,4.27736
65,4.24525
66,2.1695
67,2.1481
68,0.0421472
69,0.044441
70,4.27736
71,4.24525
72,2.1695
73,2.1481
74,0.0421472
75,0.044441
76,4.27736
77,4.24525
78,2.1695
79,2.1481
80,0.0421472
81,0.044441
82,4.27736
83,4.24525
84,2.1695
85,2.1481
86,0.0421472
87,0.044441
88,4.27736
89,4.24525
90,2.1695
91,2.1481
92,0.0421472
93,0.044441
94,4.27736
95,4.24525
96,2.1695
97,2.1481
98,0.0421472
99,0.044441
100,4.27736
101,4.24525
102,2.1695
103,2.1481
104,0.0421472
105,0.044441
106,4.27736
107,4.24525
108,2.1695
109,2.1481
110,0.0421472
111,0.044441
112,4.27736
113,4.24525
114,2.1695
115,2.1481
116,0.0421472
117,0.044441
118,4.27736
119,4.24525
120,2.1695
121,2.1481
122,0.0421472
123,0.044441
124,4.27736
125,4.24525
126,2.1695
127,2.1481
128,0.0421472
129,0.044441
130,4.27736
131,4.24525
132,2.1695
133,2.1481
134,0.0421472
135,0.044441
136,4.27736
137,4.24525
138,2.1695
139,2.1481
140,0.0421472
141,0.044441
142,4.27736
143,4.24525
144,129.052
