Layer #,Time
0,1.73366
1,1.17735
2,0.120634
3,0.124402
4,4.34716
5,2.22592
6,1.71769
7,1.17735
8,0.120634
9,0.124402
10,4.34716
11,2.22592
12,1.71769
13,1.17735
14,0.120634
15,0.124402
16,4.34716
17,2.22592
18,1.71769
19,1.17735
20,0.120634
21,0.124402
22,4.34716
23,2.22592
24,1.71769
25,1.17735
26,0.120634
27,0.124402
28,4.34716
29,2.22592
30,1.71769
31,1.17735
32,0.120634
33,0.124402
34,4.34716
35,2.22592
36,1.71769
37,1.17735
38,0.120634
39,0.124402
40,4.34716
41,2.22592
42,1.71769
43,1.17735
44,0.120634
45,0.124402
46,4.34716
47,2.22592
48,1.71769
49,1.17735
50,0.120634
51,0.124402
52,4.34716
53,2.22592
54,1.71769
55,1.17735
56,0.120634
57,0.124402
58,4.34716
59,2.22592
60,1.71769
61,1.17735
62,0.120634
63,0.124402
64,4.34716
65,2.22592
66,1.71769
67,1.17735
68,0.120634
69,0.124402
70,4.34716
71,2.22592
72,1.71769
73,1.17735
74,0.120634
75,0.124402
76,4.34716
77,2.22592
78,1.71769
79,1.17735
80,0.120634
81,0.124402
82,4.34716
83,2.22592
84,1.71769
85,1.17735
86,0.120634
87,0.124402
88,4.34716
89,2.22592
90,1.71769
91,1.17735
92,0.120634
93,0.124402
94,4.34716
95,2.22592
96,1.71769
97,1.17735
98,0.120634
99,0.124402
100,4.34716
101,2.22592
102,1.71769
103,1.17735
104,0.120634
105,0.124402
106,4.34716
107,2.22592
108,1.71769
109,1.17735
110,0.120634
111,0.124402
112,4.34716
113,2.22592
114,1.71769
115,1.17735
116,0.120634
117,0.124402
118,4.34716
119,2.22592
120,1.71769
121,1.17735
122,0.120634
123,0.124402
124,4.34716
125,2.22592
126,1.71769
127,1.17735
128,0.120634
129,0.124402
130,4.34716
131,2.22592
132,1.71769
133,1.17735
134,0.120634
135,0.124402
136,4.34716
137,2.22592
138,1.71769
139,1.17735
140,0.120634
141,0.124402
142,4.34716
143,2.22592
144,165.207
