Layer #,Time
0,6.29146
1,0.524288
2,0.002048
3,0.008192
4,4.1943
5,4.1943
6,6.29146
7,0.524288
8,0.002048
9,0.008192
10,4.1943
11,4.1943
12,6.29146
13,0.524288
14,0.002048
15,0.008192
16,4.1943
17,4.1943
18,6.29146
19,0.524288
20,0.002048
21,0.008192
22,4.1943
23,4.1943
24,6.29146
25,0.524288
26,0.002048
27,0.008192
28,4.1943
29,4.1943
30,6.29146
31,0.524288
32,0.002048
33,0.008192
34,4.1943
35,4.1943
36,6.29146
37,0.524288
38,0.002048
39,0.008192
40,4.1943
41,4.1943
42,6.29146
43,0.524288
44,0.002048
45,0.008192
46,4.1943
47,4.1943
48,6.29146
49,0.524288
50,0.002048
51,0.008192
52,4.1943
53,4.1943
54,6.29146
55,0.524288
56,0.002048
57,0.008192
58,4.1943
59,4.1943
60,6.29146
61,0.524288
62,0.002048
63,0.008192
64,4.1943
65,4.1943
66,6.29146
67,0.524288
68,0.002048
69,0.008192
70,4.1943
71,4.1943
72,6.29146
73,0.524288
74,0.002048
75,0.008192
76,4.1943
77,4.1943
78,6.29146
79,0.524288
80,0.002048
81,0.008192
82,4.1943
83,4.1943
84,6.29146
85,0.524288
86,0.002048
87,0.008192
88,4.1943
89,4.1943
90,6.29146
91,0.524288
92,0.002048
93,0.008192
94,4.1943
95,4.1943
96,6.29146
97,0.524288
98,0.002048
99,0.008192
100,4.1943
101,4.1943
102,6.29146
103,0.524288
104,0.002048
105,0.008192
106,4.1943
107,4.1943
108,6.29146
109,0.524288
110,0.002048
111,0.008192
112,4.1943
113,4.1943
114,6.29146
115,0.524288
116,0.002048
117,0.008192
118,4.1943
119,4.1943
120,6.29146
121,0.524288
122,0.002048
123,0.008192
124,4.1943
125,4.1943
126,6.29146
127,0.524288
128,0.002048
129,0.008192
130,4.1943
131,4.1943
132,6.29146
133,0.524288
134,0.002048
135,0.008192
136,4.1943
137,4.1943
138,6.29146
139,0.524288
140,0.002048
141,0.008192
142,4.1943
143,4.1943
144,113.574
