Layer #,Time
0,1.57348
1,1.04888
2,0.000634444
3,0.00422213
4,4.19508
5,2.09745
6,1.57348
7,1.04888
8,0.000634444
9,0.00422213
10,4.19508
11,2.09745
12,1.57348
13,1.04888
14,0.000634444
15,0.00422213
16,4.19508
17,2.09745
18,1.57348
19,1.04888
20,0.000634444
21,0.00422213
22,4.19508
23,2.09745
24,1.57348
25,1.04888
26,0.000634444
27,0.00422213
28,4.19508
29,2.09745
30,1.57348
31,1.04888
32,0.000634444
33,0.00422213
34,4.19508
35,2.09745
36,1.57348
37,1.04888
38,0.000634444
39,0.00422213
40,4.19508
41,2.09745
42,1.57348
43,1.04888
44,0.000634444
45,0.00422213
46,4.19508
47,2.09745
48,1.57348
49,1.04888
50,0.000634444
51,0.00422213
52,4.19508
53,2.09745
54,1.57348
55,1.04888
56,0.000634444
57,0.00422213
58,4.19508
59,2.09745
60,1.57348
61,1.04888
62,0.000634444
63,0.00422213
64,4.19508
65,2.09745
66,1.57348
67,1.04888
68,0.000634444
69,0.00422213
70,4.19508
71,2.09745
72,1.57348
73,1.04888
74,0.000634444
75,0.00422213
76,4.19508
77,2.09745
78,1.57348
79,1.04888
80,0.000634444
81,0.00422213
82,4.19508
83,2.09745
84,1.57348
85,1.04888
86,0.000634444
87,0.00422213
88,4.19508
89,2.09745
90,1.57348
91,1.04888
92,0.000634444
93,0.00422213
94,4.19508
95,2.09745
96,1.57348
97,1.04888
98,0.000634444
99,0.00422213
100,4.19508
101,2.09745
102,1.57348
103,1.04888
104,0.000634444
105,0.00422213
106,4.19508
107,2.09745
108,1.57348
109,1.04888
110,0.000634444
111,0.00422213
112,4.19508
113,2.09745
114,1.57348
115,1.04888
116,0.000634444
117,0.00422213
118,4.19508
119,2.09745
120,1.57348
121,1.04888
122,0.000634444
123,0.00422213
124,4.19508
125,2.09745
126,1.57348
127,1.04888
128,0.000634444
129,0.00422213
130,4.19508
131,2.09745
132,1.57348
133,1.04888
134,0.000634444
135,0.00422213
136,4.19508
137,2.09745
138,1.57348
139,1.04888
140,0.000634444
141,0.00422213
142,4.19508
143,2.09745
144,164.7
