Layer #,Time
0,1.57346
1,1.04899
2,0.00130766
3,0.00438182
4,2.09784
5,4.19471
6,1.57346
7,1.04899
8,0.00130766
9,0.00438182
10,2.09784
11,4.19471
12,1.57346
13,1.04899
14,0.00130766
15,0.00438182
16,2.09784
17,4.19471
18,1.57346
19,1.04899
20,0.00130766
21,0.00438182
22,2.09784
23,4.19471
24,1.57346
25,1.04899
26,0.00130766
27,0.00438182
28,2.09784
29,4.19471
30,1.57346
31,1.04899
32,0.00130766
33,0.00438182
34,2.09784
35,4.19471
36,1.57346
37,1.04899
38,0.00130766
39,0.00438182
40,2.09784
41,4.19471
42,1.57346
43,1.04899
44,0.00130766
45,0.00438182
46,2.09784
47,4.19471
48,1.57346
49,1.04899
50,0.00130766
51,0.00438182
52,2.09784
53,4.19471
54,1.57346
55,1.04899
56,0.00130766
57,0.00438182
58,2.09784
59,4.19471
60,1.57346
61,1.04899
62,0.00130766
63,0.00438182
64,2.09784
65,4.19471
66,1.57346
67,1.04899
68,0.00130766
69,0.00438182
70,2.09784
71,4.19471
72,1.57346
73,1.04899
74,0.00130766
75,0.00438182
76,2.09784
77,4.19471
78,1.57346
79,1.04899
80,0.00130766
81,0.00438182
82,2.09784
83,4.19471
84,1.57346
85,1.04899
86,0.00130766
87,0.00438182
88,2.09784
89,4.19471
90,1.57346
91,1.04899
92,0.00130766
93,0.00438182
94,2.09784
95,4.19471
96,1.57346
97,1.04899
98,0.00130766
99,0.00438182
100,2.09784
101,4.19471
102,1.57346
103,1.04899
104,0.00130766
105,0.00438182
106,2.09784
107,4.19471
108,1.57346
109,1.04899
110,0.00130766
111,0.00438182
112,2.09784
113,4.19471
114,1.57346
115,1.04899
116,0.00130766
117,0.00438182
118,2.09784
119,4.19471
120,1.57346
121,1.04899
122,0.00130766
123,0.00438182
124,2.09784
125,4.19471
126,1.57346
127,1.04899
128,0.00130766
129,0.00438182
130,2.09784
131,4.19471
132,1.57346
133,1.04899
134,0.00130766
135,0.00438182
136,2.09784
137,4.19471
138,1.57346
139,1.04899
140,0.00130766
141,0.00438182
142,2.09784
143,4.19471
144,102.946
