Layer #,Time
0,27.7665
1,9.3861
2,0.140384
3,0.183392
4,36.9605
5,34.5519
6,27.7687
7,9.3861
8,0.140384
9,0.183392
10,36.9605
11,34.5519
12,27.7687
13,9.3861
14,0.140384
15,0.183392
16,36.9605
17,34.5519
18,27.7687
19,9.3861
20,0.140384
21,0.183392
22,36.9605
23,34.5519
24,27.7687
25,9.3861
26,0.140384
27,0.183392
28,36.9605
29,34.5519
30,27.7687
31,9.3861
32,0.140384
33,0.183392
34,36.9605
35,34.5519
36,27.7687
37,9.3861
38,0.140384
39,0.183392
40,36.9605
41,34.5519
42,27.7687
43,9.3861
44,0.140384
45,0.183392
46,36.9605
47,34.5519
48,27.7687
49,9.3861
50,0.140384
51,0.183392
52,36.9605
53,34.5519
54,27.7687
55,9.3861
56,0.140384
57,0.183392
58,36.9605
59,34.5519
60,27.7687
61,9.3861
62,0.140384
63,0.183392
64,36.9605
65,34.5519
66,27.7687
67,9.3861
68,0.140384
69,0.183392
70,36.9605
71,34.5519
72,27.7687
73,9.3861
74,0.140384
75,0.183392
76,36.9605
77,34.5519
78,27.7687
79,9.3861
80,0.140384
81,0.183392
82,36.9605
83,34.5519
84,27.7687
85,9.3861
86,0.140384
87,0.183392
88,36.9605
89,34.5519
90,27.7687
91,9.3861
92,0.140384
93,0.183392
94,36.9605
95,34.5519
96,27.7687
97,9.3861
98,0.140384
99,0.183392
100,36.9605
101,34.5519
102,27.7687
103,9.3861
104,0.140384
105,0.183392
106,36.9605
107,34.5519
108,27.7687
109,9.3861
110,0.140384
111,0.183392
112,36.9605
113,34.5519
114,27.7687
115,9.3861
116,0.140384
117,0.183392
118,36.9605
119,34.5519
120,27.7687
121,9.3861
122,0.140384
123,0.183392
124,36.9605
125,34.5519
126,27.7687
127,9.3861
128,0.140384
129,0.183392
130,36.9605
131,34.5519
132,27.7687
133,9.3861
134,0.140384
135,0.183392
136,36.9605
137,34.5519
138,27.7687
139,9.3861
140,0.140384
141,0.183392
142,36.9605
143,34.5519
144,459.873
