Layer #,Time
0,27.0221
1,9.30915
2,0.306464
3,0.341792
4,35.8824
5,34.4749
6,27.0277
7,9.30915
8,0.306464
9,0.341792
10,35.8824
11,34.4749
12,27.0277
13,9.30915
14,0.306464
15,0.341792
16,35.8824
17,34.4749
18,27.0277
19,9.30915
20,0.306464
21,0.341792
22,35.8824
23,34.4749
24,27.0277
25,9.30915
26,0.306464
27,0.341792
28,35.8824
29,34.4749
30,27.0277
31,9.30915
32,0.306464
33,0.341792
34,35.8824
35,34.4749
36,27.0277
37,9.30915
38,0.306464
39,0.341792
40,35.8824
41,34.4749
42,27.0277
43,9.30915
44,0.306464
45,0.341792
46,35.8824
47,34.4749
48,27.0277
49,9.30915
50,0.306464
51,0.341792
52,35.8824
53,34.4749
54,27.0277
55,9.30915
56,0.306464
57,0.341792
58,35.8824
59,34.4749
60,27.0277
61,9.30915
62,0.306464
63,0.341792
64,35.8824
65,34.4749
66,27.0277
67,9.30915
68,0.306464
69,0.341792
70,35.8824
71,34.4749
72,27.0277
73,9.30915
74,0.306464
75,0.341792
76,35.8824
77,34.4749
78,27.0277
79,9.30915
80,0.306464
81,0.341792
82,35.8824
83,34.4749
84,27.0277
85,9.30915
86,0.306464
87,0.341792
88,35.8824
89,34.4749
90,27.0277
91,9.30915
92,0.306464
93,0.341792
94,35.8824
95,34.4749
96,27.0277
97,9.30915
98,0.306464
99,0.341792
100,35.8824
101,34.4749
102,27.0277
103,9.30915
104,0.306464
105,0.341792
106,35.8824
107,34.4749
108,27.0277
109,9.30915
110,0.306464
111,0.341792
112,35.8824
113,34.4749
114,27.0277
115,9.30915
116,0.306464
117,0.341792
118,35.8824
119,34.4749
120,27.0277
121,9.30915
122,0.306464
123,0.341792
124,35.8824
125,34.4749
126,27.0277
127,9.30915
128,0.306464
129,0.341792
130,35.8824
131,34.4749
132,27.0277
133,9.30915
134,0.306464
135,0.341792
136,35.8824
137,34.4749
138,27.0277
139,9.30915
140,0.306464
141,0.341792
142,35.8824
143,34.4749
144,440.45
