Layer #,Time
0,28.4731
1,9.5237
2,0.058112
3,0.107264
4,37.9003
5,34.6895
6,28.4411
7,9.5237
8,0.058112
9,0.107264
10,37.9003
11,34.6895
12,28.4411
13,9.5237
14,0.058112
15,0.107264
16,37.9003
17,34.6895
18,28.4411
19,9.5237
20,0.058112
21,0.107264
22,37.9003
23,34.6895
24,28.4411
25,9.5237
26,0.058112
27,0.107264
28,37.9003
29,34.6895
30,28.4411
31,9.5237
32,0.058112
33,0.107264
34,37.9003
35,34.6895
36,28.4411
37,9.5237
38,0.058112
39,0.107264
40,37.9003
41,34.6895
42,28.4411
43,9.5237
44,0.058112
45,0.107264
46,37.9003
47,34.6895
48,28.4411
49,9.5237
50,0.058112
51,0.107264
52,37.9003
53,34.6895
54,28.4411
55,9.5237
56,0.058112
57,0.107264
58,37.9003
59,34.6895
60,28.4411
61,9.5237
62,0.058112
63,0.107264
64,37.9003
65,34.6895
66,28.4411
67,9.5237
68,0.058112
69,0.107264
70,37.9003
71,34.6895
72,28.4411
73,9.5237
74,0.058112
75,0.107264
76,37.9003
77,34.6895
78,28.4411
79,9.5237
80,0.058112
81,0.107264
82,37.9003
83,34.6895
84,28.4411
85,9.5237
86,0.058112
87,0.107264
88,37.9003
89,34.6895
90,28.4411
91,9.5237
92,0.058112
93,0.107264
94,37.9003
95,34.6895
96,28.4411
97,9.5237
98,0.058112
99,0.107264
100,37.9003
101,34.6895
102,28.4411
103,9.5237
104,0.058112
105,0.107264
106,37.9003
107,34.6895
108,28.4411
109,9.5237
110,0.058112
111,0.107264
112,37.9003
113,34.6895
114,28.4411
115,9.5237
116,0.058112
117,0.107264
118,37.9003
119,34.6895
120,28.4411
121,9.5237
122,0.058112
123,0.107264
124,37.9003
125,34.6895
126,28.4411
127,9.5237
128,0.058112
129,0.107264
130,37.9003
131,34.6895
132,28.4411
133,9.5237
134,0.058112
135,0.107264
136,37.9003
137,34.6895
138,28.4411
139,9.5237
140,0.058112
141,0.107264
142,37.9003
143,34.6895
144,574.8
