Layer #,Time
0,4.1736
1,2.04607
2,0.132704
3,0.15472
4,7.60043
5,3.09464
6,4.17576
7,2.04607
8,0.132704
9,0.15472
10,7.60043
11,3.09464
12,4.17576
13,2.04607
14,0.132704
15,0.15472
16,7.60043
17,3.09464
18,4.17576
19,2.04607
20,0.132704
21,0.15472
22,7.60043
23,3.09464
24,4.17576
25,2.04607
26,0.132704
27,0.15472
28,7.60043
29,3.09464
30,4.17576
31,2.04607
32,0.132704
33,0.15472
34,7.60043
35,3.09464
36,4.17576
37,2.04607
38,0.132704
39,0.15472
40,7.60043
41,3.09464
42,4.17576
43,2.04607
44,0.132704
45,0.15472
46,7.60043
47,3.09464
48,4.17576
49,2.04607
50,0.132704
51,0.15472
52,7.60043
53,3.09464
54,4.17576
55,2.04607
56,0.132704
57,0.15472
58,7.60043
59,3.09464
60,4.17576
61,2.04607
62,0.132704
63,0.15472
64,7.60043
65,3.09464
66,4.17576
67,2.04607
68,0.132704
69,0.15472
70,7.60043
71,3.09464
72,4.17576
73,2.04607
74,0.132704
75,0.15472
76,7.60043
77,3.09464
78,4.17576
79,2.04607
80,0.132704
81,0.15472
82,7.60043
83,3.09464
84,4.17576
85,2.04607
86,0.132704
87,0.15472
88,7.60043
89,3.09464
90,4.17576
91,2.04607
92,0.132704
93,0.15472
94,7.60043
95,3.09464
96,4.17576
97,2.04607
98,0.132704
99,0.15472
100,7.60043
101,3.09464
102,4.17576
103,2.04607
104,0.132704
105,0.15472
106,7.60043
107,3.09464
108,4.17576
109,2.04607
110,0.132704
111,0.15472
112,7.60043
113,3.09464
114,4.17576
115,2.04607
116,0.132704
117,0.15472
118,7.60043
119,3.09464
120,4.17576
121,2.04607
122,0.132704
123,0.15472
124,7.60043
125,3.09464
126,4.17576
127,2.04607
128,0.132704
129,0.15472
130,7.60043
131,3.09464
132,4.17576
133,2.04607
134,0.132704
135,0.15472
136,7.60043
137,3.09464
138,4.17576
139,2.04607
140,0.132704
141,0.15472
142,7.60043
143,3.09464
144,212.835
