Layer #,Time
0,3.42915
1,1.96912
2,0.299296
3,0.31312
4,4.4252
5,5.11484
6,3.43476
7,1.96912
8,0.299296
9,0.31312
10,4.4252
11,5.11484
12,3.43476
13,1.96912
14,0.299296
15,0.31312
16,4.4252
17,5.11484
18,3.43476
19,1.96912
20,0.299296
21,0.31312
22,4.4252
23,5.11484
24,3.43476
25,1.96912
26,0.299296
27,0.31312
28,4.4252
29,5.11484
30,3.43476
31,1.96912
32,0.299296
33,0.31312
34,4.4252
35,5.11484
36,3.43476
37,1.96912
38,0.299296
39,0.31312
40,4.4252
41,5.11484
42,3.43476
43,1.96912
44,0.299296
45,0.31312
46,4.4252
47,5.11484
48,3.43476
49,1.96912
50,0.299296
51,0.31312
52,4.4252
53,5.11484
54,3.43476
55,1.96912
56,0.299296
57,0.31312
58,4.4252
59,5.11484
60,3.43476
61,1.96912
62,0.299296
63,0.31312
64,4.4252
65,5.11484
66,3.43476
67,1.96912
68,0.299296
69,0.31312
70,4.4252
71,5.11484
72,3.43476
73,1.96912
74,0.299296
75,0.31312
76,4.4252
77,5.11484
78,3.43476
79,1.96912
80,0.299296
81,0.31312
82,4.4252
83,5.11484
84,3.43476
85,1.96912
86,0.299296
87,0.31312
88,4.4252
89,5.11484
90,3.43476
91,1.96912
92,0.299296
93,0.31312
94,4.4252
95,5.11484
96,3.43476
97,1.96912
98,0.299296
99,0.31312
100,4.4252
101,5.11484
102,3.43476
103,1.96912
104,0.299296
105,0.31312
106,4.4252
107,5.11484
108,3.43476
109,1.96912
110,0.299296
111,0.31312
112,4.4252
113,5.11484
114,3.43476
115,1.96912
116,0.299296
117,0.31312
118,4.4252
119,5.11484
120,3.43476
121,1.96912
122,0.299296
123,0.31312
124,4.4252
125,5.11484
126,3.43476
127,1.96912
128,0.299296
129,0.31312
130,4.4252
131,5.11484
132,3.43476
133,1.96912
134,0.299296
135,0.31312
136,4.4252
137,5.11484
138,3.43476
139,1.96912
140,0.299296
141,0.31312
142,4.4252
143,5.11484
144,131.628
