Layer #,Time
0,5.40448
1,3.23224
2,0.051968
3,0.078592
4,8.54024
5,5.32939
6,5.37246
7,3.23224
8,0.051968
9,0.078592
10,8.54024
11,5.32939
12,5.37246
13,3.23224
14,0.051968
15,0.078592
16,8.54024
17,5.32939
18,5.37246
19,3.23224
20,0.051968
21,0.078592
22,8.54024
23,5.32939
24,5.37246
25,3.23224
26,0.051968
27,0.078592
28,8.54024
29,5.32939
30,5.37246
31,3.23224
32,0.051968
33,0.078592
34,8.54024
35,5.32939
36,5.37246
37,3.23224
38,0.051968
39,0.078592
40,8.54024
41,5.32939
42,5.37246
43,3.23224
44,0.051968
45,0.078592
46,8.54024
47,5.32939
48,5.37246
49,3.23224
50,0.051968
51,0.078592
52,8.54024
53,5.32939
54,5.37246
55,3.23224
56,0.051968
57,0.078592
58,8.54024
59,5.32939
60,5.37246
61,3.23224
62,0.051968
63,0.078592
64,8.54024
65,5.32939
66,5.37246
67,3.23224
68,0.051968
69,0.078592
70,8.54024
71,5.32939
72,5.37246
73,3.23224
74,0.051968
75,0.078592
76,8.54024
77,5.32939
78,5.37246
79,3.23224
80,0.051968
81,0.078592
82,8.54024
83,5.32939
84,5.37246
85,3.23224
86,0.051968
87,0.078592
88,8.54024
89,5.32939
90,5.37246
91,3.23224
92,0.051968
93,0.078592
94,8.54024
95,5.32939
96,5.37246
97,3.23224
98,0.051968
99,0.078592
100,8.54024
101,5.32939
102,5.37246
103,3.23224
104,0.051968
105,0.078592
106,8.54024
107,5.32939
108,5.37246
109,3.23224
110,0.051968
111,0.078592
112,8.54024
113,5.32939
114,5.37246
115,3.23224
116,0.051968
117,0.078592
118,8.54024
119,5.32939
120,5.37246
121,3.23224
122,0.051968
123,0.078592
124,8.54024
125,5.32939
126,5.37246
127,3.23224
128,0.051968
129,0.078592
130,8.54024
131,5.32939
132,5.37246
133,3.23224
134,0.051968
135,0.078592
136,8.54024
137,5.32939
138,5.37246
139,3.23224
140,0.051968
141,0.078592
142,8.54024
143,5.32939
144,194.757
