Layer #,Time
0,25.1658
1,8.38861
2,0.008192
3,0.033536
4,33.5544
5,33.5544
6,25.1658
7,8.38861
8,0.008192
9,0.033536
10,33.5544
11,33.5544
12,25.1658
13,8.38861
14,0.008192
15,0.033536
16,33.5544
17,33.5544
18,25.1658
19,8.38861
20,0.008192
21,0.033536
22,33.5544
23,33.5544
24,25.1658
25,8.38861
26,0.008192
27,0.033536
28,33.5544
29,33.5544
30,25.1658
31,8.38861
32,0.008192
33,0.033536
34,33.5544
35,33.5544
36,25.1658
37,8.38861
38,0.008192
39,0.033536
40,33.5544
41,33.5544
42,25.1658
43,8.38861
44,0.008192
45,0.033536
46,33.5544
47,33.5544
48,25.1658
49,8.38861
50,0.008192
51,0.033536
52,33.5544
53,33.5544
54,25.1658
55,8.38861
56,0.008192
57,0.033536
58,33.5544
59,33.5544
60,25.1658
61,8.38861
62,0.008192
63,0.033536
64,33.5544
65,33.5544
66,25.1658
67,8.38861
68,0.008192
69,0.033536
70,33.5544
71,33.5544
72,25.1658
73,8.38861
74,0.008192
75,0.033536
76,33.5544
77,33.5544
78,25.1658
79,8.38861
80,0.008192
81,0.033536
82,33.5544
83,33.5544
84,25.1658
85,8.38861
86,0.008192
87,0.033536
88,33.5544
89,33.5544
90,25.1658
91,8.38861
92,0.008192
93,0.033536
94,33.5544
95,33.5544
96,25.1658
97,8.38861
98,0.008192
99,0.033536
100,33.5544
101,33.5544
102,25.1658
103,8.38861
104,0.008192
105,0.033536
106,33.5544
107,33.5544
108,25.1658
109,8.38861
110,0.008192
111,0.033536
112,33.5544
113,33.5544
114,25.1658
115,8.38861
116,0.008192
117,0.033536
118,33.5544
119,33.5544
120,25.1658
121,8.38861
122,0.008192
123,0.033536
124,33.5544
125,33.5544
126,25.1658
127,8.38861
128,0.008192
129,0.033536
130,33.5544
131,33.5544
132,25.1658
133,8.38861
134,0.008192
135,0.033536
136,33.5544
137,33.5544
138,25.1658
139,8.38861
140,0.008192
141,0.033536
142,33.5544
143,33.5544
144,411.705
