Layer #,Time
0,25.1664
1,8.38891
2,0.00831444
3,0.0328941
4,33.5552
5,33.5547
6,25.1664
7,8.38891
8,0.00831444
9,0.0328941
10,33.5552
11,33.5547
12,25.1664
13,8.38891
14,0.00831444
15,0.0328941
16,33.5552
17,33.5547
18,25.1664
19,8.38891
20,0.00831444
21,0.0328941
22,33.5552
23,33.5547
24,25.1664
25,8.38891
26,0.00831444
27,0.0328941
28,33.5552
29,33.5547
30,25.1664
31,8.38891
32,0.00831444
33,0.0328941
34,33.5552
35,33.5547
36,25.1664
37,8.38891
38,0.00831444
39,0.0328941
40,33.5552
41,33.5547
42,25.1664
43,8.38891
44,0.00831444
45,0.0328941
46,33.5552
47,33.5547
48,25.1664
49,8.38891
50,0.00831444
51,0.0328941
52,33.5552
53,33.5547
54,25.1664
55,8.38891
56,0.00831444
57,0.0328941
58,33.5552
59,33.5547
60,25.1664
61,8.38891
62,0.00831444
63,0.0328941
64,33.5552
65,33.5547
66,25.1664
67,8.38891
68,0.00831444
69,0.0328941
70,33.5552
71,33.5547
72,25.1664
73,8.38891
74,0.00831444
75,0.0328941
76,33.5552
77,33.5547
78,25.1664
79,8.38891
80,0.00831444
81,0.0328941
82,33.5552
83,33.5547
84,25.1664
85,8.38891
86,0.00831444
87,0.0328941
88,33.5552
89,33.5547
90,25.1664
91,8.38891
92,0.00831444
93,0.0328941
94,33.5552
95,33.5547
96,25.1664
97,8.38891
98,0.00831444
99,0.0328941
100,33.5552
101,33.5547
102,25.1664
103,8.38891
104,0.00831444
105,0.0328941
106,33.5552
107,33.5547
108,25.1664
109,8.38891
110,0.00831444
111,0.0328941
112,33.5552
113,33.5547
114,25.1664
115,8.38891
116,0.00831444
117,0.0328941
118,33.5552
119,33.5547
120,25.1664
121,8.38891
122,0.00831444
123,0.0328941
124,33.5552
125,33.5547
126,25.1664
127,8.38891
128,0.00831444
129,0.0328941
130,33.5552
131,33.5547
132,25.1664
133,8.38891
134,0.00831444
135,0.0328941
136,33.5552
137,33.5547
138,25.1664
139,8.38891
140,0.00831444
141,0.0328941
142,33.5552
143,33.5547
144,411.738
