Layer #,Time
0,25.1665
1,8.38887
2,0.00823399
3,0.0328149
4,33.5553
5,33.5547
6,25.1665
7,8.38887
8,0.00823399
9,0.0328149
10,33.5553
11,33.5547
12,25.1665
13,8.38887
14,0.00823399
15,0.0328149
16,33.5553
17,33.5547
18,25.1665
19,8.38887
20,0.00823399
21,0.0328149
22,33.5553
23,33.5547
24,25.1665
25,8.38887
26,0.00823399
27,0.0328149
28,33.5553
29,33.5547
30,25.1665
31,8.38887
32,0.00823399
33,0.0328149
34,33.5553
35,33.5547
36,25.1665
37,8.38887
38,0.00823399
39,0.0328149
40,33.5553
41,33.5547
42,25.1665
43,8.38887
44,0.00823399
45,0.0328149
46,33.5553
47,33.5547
48,25.1665
49,8.38887
50,0.00823399
51,0.0328149
52,33.5553
53,33.5547
54,25.1665
55,8.38887
56,0.00823399
57,0.0328149
58,33.5553
59,33.5547
60,25.1665
61,8.38887
62,0.00823399
63,0.0328149
64,33.5553
65,33.5547
66,25.1665
67,8.38887
68,0.00823399
69,0.0328149
70,33.5553
71,33.5547
72,25.1665
73,8.38887
74,0.00823399
75,0.0328149
76,33.5553
77,33.5547
78,25.1665
79,8.38887
80,0.00823399
81,0.0328149
82,33.5553
83,33.5547
84,25.1665
85,8.38887
86,0.00823399
87,0.0328149
88,33.5553
89,33.5547
90,25.1665
91,8.38887
92,0.00823399
93,0.0328149
94,33.5553
95,33.5547
96,25.1665
97,8.38887
98,0.00823399
99,0.0328149
100,33.5553
101,33.5547
102,25.1665
103,8.38887
104,0.00823399
105,0.0328149
106,33.5553
107,33.5547
108,25.1665
109,8.38887
110,0.00823399
111,0.0328149
112,33.5553
113,33.5547
114,25.1665
115,8.38887
116,0.00823399
117,0.0328149
118,33.5553
119,33.5547
120,25.1665
121,8.38887
122,0.00823399
123,0.0328149
124,33.5553
125,33.5547
126,25.1665
127,8.38887
128,0.00823399
129,0.0328149
130,33.5553
131,33.5547
132,25.1665
133,8.38887
134,0.00823399
135,0.0328149
136,33.5553
137,33.5547
138,25.1665
139,8.38887
140,0.00823399
141,0.0328149
142,33.5553
143,33.5547
144,508.135
