Layer #,Time
0,25.283
1,8.43956
2,0.0482912
3,0.073113
4,33.6375
5,33.6054
6,25.2382
7,8.43956
8,0.0482912
9,0.073113
10,33.6375
11,33.6054
12,25.2382
13,8.43956
14,0.0482912
15,0.073113
16,33.6375
17,33.6054
18,25.2382
19,8.43956
20,0.0482912
21,0.073113
22,33.6375
23,33.6054
24,25.2382
25,8.43956
26,0.0482912
27,0.073113
28,33.6375
29,33.6054
30,25.2382
31,8.43956
32,0.0482912
33,0.073113
34,33.6375
35,33.6054
36,25.2382
37,8.43956
38,0.0482912
39,0.073113
40,33.6375
41,33.6054
42,25.2382
43,8.43956
44,0.0482912
45,0.073113
46,33.6375
47,33.6054
48,25.2382
49,8.43956
50,0.0482912
51,0.073113
52,33.6375
53,33.6054
54,25.2382
55,8.43956
56,0.0482912
57,0.073113
58,33.6375
59,33.6054
60,25.2382
61,8.43956
62,0.0482912
63,0.073113
64,33.6375
65,33.6054
66,25.2382
67,8.43956
68,0.0482912
69,0.073113
70,33.6375
71,33.6054
72,25.2382
73,8.43956
74,0.0482912
75,0.073113
76,33.6375
77,33.6054
78,25.2382
79,8.43956
80,0.0482912
81,0.073113
82,33.6375
83,33.6054
84,25.2382
85,8.43956
86,0.0482912
87,0.073113
88,33.6375
89,33.6054
90,25.2382
91,8.43956
92,0.0482912
93,0.073113
94,33.6375
95,33.6054
96,25.2382
97,8.43956
98,0.0482912
99,0.073113
100,33.6375
101,33.6054
102,25.2382
103,8.43956
104,0.0482912
105,0.073113
106,33.6375
107,33.6054
108,25.2382
109,8.43956
110,0.0482912
111,0.073113
112,33.6375
113,33.6054
114,25.2382
115,8.43956
116,0.0482912
117,0.073113
118,33.6375
119,33.6054
120,25.2382
121,8.43956
122,0.0482912
123,0.073113
124,33.6375
125,33.6054
126,25.2382
127,8.43956
128,0.0482912
129,0.073113
130,33.6375
131,33.6054
132,25.2382
133,8.43956
134,0.0482912
135,0.073113
136,33.6375
137,33.6054
138,25.2382
139,8.43956
140,0.0482912
141,0.073113
142,33.6375
143,33.6054
144,509.095
