Layer #,Time
0,25.3266
1,8.51738
2,0.128314
3,0.153074
4,33.7073
5,33.6832
6,25.3106
7,8.51738
8,0.128314
9,0.153074
10,33.7073
11,33.6832
12,25.3106
13,8.51738
14,0.128314
15,0.153074
16,33.7073
17,33.6832
18,25.3106
19,8.51738
20,0.128314
21,0.153074
22,33.7073
23,33.6832
24,25.3106
25,8.51738
26,0.128314
27,0.153074
28,33.7073
29,33.6832
30,25.3106
31,8.51738
32,0.128314
33,0.153074
34,33.7073
35,33.6832
36,25.3106
37,8.51738
38,0.128314
39,0.153074
40,33.7073
41,33.6832
42,25.3106
43,8.51738
44,0.128314
45,0.153074
46,33.7073
47,33.6832
48,25.3106
49,8.51738
50,0.128314
51,0.153074
52,33.7073
53,33.6832
54,25.3106
55,8.51738
56,0.128314
57,0.153074
58,33.7073
59,33.6832
60,25.3106
61,8.51738
62,0.128314
63,0.153074
64,33.7073
65,33.6832
66,25.3106
67,8.51738
68,0.128314
69,0.153074
70,33.7073
71,33.6832
72,25.3106
73,8.51738
74,0.128314
75,0.153074
76,33.7073
77,33.6832
78,25.3106
79,8.51738
80,0.128314
81,0.153074
82,33.7073
83,33.6832
84,25.3106
85,8.51738
86,0.128314
87,0.153074
88,33.7073
89,33.6832
90,25.3106
91,8.51738
92,0.128314
93,0.153074
94,33.7073
95,33.6832
96,25.3106
97,8.51738
98,0.128314
99,0.153074
100,33.7073
101,33.6832
102,25.3106
103,8.51738
104,0.128314
105,0.153074
106,33.7073
107,33.6832
108,25.3106
109,8.51738
110,0.128314
111,0.153074
112,33.7073
113,33.6832
114,25.3106
115,8.51738
116,0.128314
117,0.153074
118,33.7073
119,33.6832
120,25.3106
121,8.51738
122,0.128314
123,0.153074
124,33.7073
125,33.6832
126,25.3106
127,8.51738
128,0.128314
129,0.153074
130,33.7073
131,33.6832
132,25.3106
133,8.51738
134,0.128314
135,0.153074
136,33.7073
137,33.6832
138,25.3106
139,8.51738
140,0.128314
141,0.153074
142,33.7073
143,33.6832
144,412.245
